LluviaDiariaSantaFe,LluviaDiariaBuenosAires,LluviaDiariaCordoba,CotizacionDolar,PrecioPromedioDiarioMaizUSD,SuperficieSembradaMaizSantaFe,SuperficieSembradaMaizBuenosAires,SuperficieSembradaMaizCordoba,SuperficieCosechadaMaizSantaFe,SuperficieCosechadaMaizBuenosAires,SuperficieCosechadaMaizCordoba,ProduccionMaizSantaFe,ProduccionMaizBuenosAires,ProduccionMaizCordoba,RendimientoMaizSantaFe,RendimientoMaizBuenosAires,RendimientoMaizCordoba,PromedioIncendiosMensualesSantaFe,PromedioIncendiosMensualesBuenosAires,PromedioIncendioMensualesCordoba,VariacionMaizDiaAnterior,VariacionMaizTresDia,VariacionMaizSieteDias,LluviaAcumuladaSieteDiasSantaFe,LluviaDiariaAcumuladaSieteDiasBuenosAires,LluviaDiariaAcumuladaSieteDiasCordoba,LluviaDiariaAcumuladaSieteDiasSantaFe,LluviaDiariaAcumuladaSieteDiasBuenosAires,LluviaDiariaAcumuladaSieteDiasCordoba,LluviaDiariaAcumuladaTreintaDiasSantaFe,LluviaDiariaAcumuladaTreintaDiasBuenosAires,LluviaDiariaAcumuladaTreintaDiasCordoba,LluviaDiariaAcumuladaCuarentaCincoDiasSantaFe,LluviaDiariaAcumuladaCuarentaCincoDiasBuenosAires,LluviaDiariaAcumuladaCuarentaCincoDiasCordoba,LluviaDiariaAcumuladaSesentaDiasSantaFe,LluviaDiariaAcumuladaSesentaDiasBuenosAires,LluviaDiariaAcumuladaSesentaDiasCordoba,PrecioPromedioTreintaDiasMaiz,PrecioPromedioSesentaDiasMaiz,PrecioPromedioNoventaDiasMaiz,PrecioRealDiaSiguiente,
0,0,0,1,92,992,7004.6,1654.6,934.5,7174.265,1601.12,1348.98,8888.6,3116,84.65,494.048,131.758,54,291,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,3
0,0,0,1,95,992,7004.6,1654.6,934.5,7174.265,1601.12,1348.98,8888.6,3116,84.65,494.048,131.758,54,291,72,0.0326,0.0326,0.0326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,92,92,76.5,18.5
0,0,0,1,95.2,992,7004.6,1654.6,934.5,7174.265,1601.12,1348.98,8888.6,3116,84.65,494.048,131.758,54,291,72,0.0021,0.0181,0.0181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.5,93.5,93.5,73,22.2
0,0,0,1,95.6,992,7004.6,1654.6,934.5,7174.265,1601.12,1348.98,8888.6,3116,84.65,494.048,131.758,54,291,72,0.0042,0.0163,0.0163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.0666,94.0666,94.0666,95,0.6
0,0,0,1,96.8,992,7004.6,1654.6,934.5,7174.265,1601.12,1348.98,8888.6,3116,84.65,494.048,131.758,54,291,72,0.0125,0.016,0.0248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.45,94.45,94.45,94.9,1.9
0,0,0,1,95,992,7004.6,1654.6,934.5,7174.265,1601.12,1348.98,8888.6,3116,84.65,494.048,131.758,54,291,72,-0.0185,-0.009,0.0008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.92,94.92,94.92,90,5
0,0,0,1,76.5,992,7004.6,1654.6,934.5,7174.265,1601.12,1348.98,8888.6,3116,84.65,494.048,131.758,54,291,72,-0.1947,-0.2014,-0.1941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.9333,94.9333,94.9333,90,13.5
0,0,15,1,73,992,7004.6,1654.6,934.5,7174.265,1601.12,1348.98,8888.6,3116,84.65,494.048,131.758,54,291,72,-0.0457,-0.1837,-0.2091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.3,92.3,92.3,89,16
0,0,0.5,1,95,992,7004.6,1654.6,934.5,7174.265,1601.12,1348.98,8888.6,3116,84.65,494.048,131.758,54,291,72,0.3013,0.1656,0.0604,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,89.8875,89.8875,89.8875,88.9,6.1
15.4,0,35.5,1,94.9,992,7004.6,1654.6,934.5,7174.265,1601.12,1348.98,8888.6,3116,84.65,494.048,131.758,54,291,72,-0.001,0.1644,0.0593,0,15.5,0,0,15.5,0,0,15.5,0,0,15.5,0,0,15.5,0,90.4555,90.4555,90.4555,88.9,6
0,0,0,1,90,992,7004.6,1654.6,934.5,7174.265,1601.12,1348.98,8888.6,3116,84.65,494.048,131.758,54,291,72,-0.0516,0.027,0.0051,15.4,51,0,15.4,51,0,15.4,51,0,15.4,51,0,15.4,51,0,90.9,90.9,90.9,89.4,0.6
1.1,0,0,1,90,992,7004.6,1654.6,934.5,7174.265,1601.12,1348.98,8888.6,3116,84.65,494.048,131.758,54,291,72,0,-0.0353,0.0141,15.4,51,0,15.4,51,0,15.4,51,0,15.4,51,0,15.4,51,0,90.8181,90.8181,90.8181,90,0
11.1,0,1,1,89,992,7004.6,1654.6,934.5,7174.265,1601.12,1348.98,8888.6,3116,84.65,494.048,131.758,54,291,72,-0.0111,-0.0287,0.0139,16.5,51,0,16.5,51,0,16.5,51,0,16.5,51,0,16.5,51,0,90.75,90.75,90.75,91.1,2.1
0,0,0,1,88.9,992,7004.6,1654.6,934.5,7174.265,1601.12,1348.98,8888.6,3116,84.65,494.048,131.758,54,291,72,-0.0011,-0.0085,0.0228,42.1,40.5,0,42.1,40.5,0,42.1,55.5,0,42.1,55.5,0,42.1,55.5,0,90.6153,90.6153,90.6153,92.2,3.3
